burn_no.,lat,lon,date
0,35.795845,-91.746407,1/1/2020 0:00
1,35.944637,-89.714012,1/1/2020 0:00
2,35.937141,-89.71537,1/1/2020 0:00
3,36.009022,-91.602608,1/1/2020 0:00
4,36.105457,-93.720551,1/1/2020 0:00
5,35.792656,-91.744896,1/1/2020 0:00
6,32.703674,-94.772797,1/1/2020 0:00
7,36.23774,-94.271538,1/1/2020 0:00
8,36.785618,-88.641365,1/1/2020 0:00
9,36.676052,-91.235764,1/1/2020 0:00
10,35.507832,-94.612602,1/3/2020 0:00
11,32.416573,-94.273476,1/3/2020 0:00
12,32.415051,-94.270363,1/3/2020 0:00
13,35.16761,-91.77327,1/4/2020 0:00
14,35.409019,-93.775314,1/4/2020 0:00
15,35.643993,-89.94529,1/4/2020 0:00
16,35.888893,-89.780113,1/4/2020 0:00
17,35.943821,-89.717361,1/4/2020 0:00
18,35.934944,-89.715607,1/4/2020 0:00
19,35.934017,-89.711288,1/4/2020 0:00
20,35.084614,-90.082924,1/4/2020 0:00
21,35.938923,-89.714333,1/4/2020 0:00
22,35.793205,-91.744164,1/4/2020 0:00
23,32.41666,-94.272789,1/4/2020 0:00
24,32.413204,-94.273674,1/4/2020 0:00
25,33.96479,-94.172462,1/4/2020 0:00
26,32.276276,-92.727013,1/4/2020 0:00
27,35.916237,-94.024139,1/4/2020 0:00
28,35.809147,-94.094437,1/4/2020 0:00
29,35.92062,-94.019272,1/4/2020 0:00
30,35.91684,-94.018616,1/4/2020 0:00
31,35.920513,-94.027924,1/4/2020 0:00
32,35.923199,-94.030777,1/4/2020 0:00
33,35.921131,-94.022545,1/4/2020 0:00
34,35.491989,-92.567322,1/4/2020 0:00
35,36.416531,-91.785301,1/4/2020 0:00
36,35.920017,-94.02475,1/4/2020 0:00
37,35.917999,-94.016289,1/4/2020 0:00
38,36.614326,-94.546936,1/4/2020 0:00
39,35.917355,-94.021912,1/4/2020 0:00
40,34.542313,-92.937691,1/4/2020 0:00
41,34.539707,-92.936096,1/4/2020 0:00
42,35.205639,-94.532463,1/4/2020 0:00
43,33.96978,-94.125893,1/4/2020 0:00
44,33.966106,-94.125244,1/4/2020 0:00
45,35.921783,-94.016899,1/4/2020 0:00
46,35.916733,-94.027336,1/4/2020 0:00
47,35.646206,-89.938202,1/5/2020 0:00
48,35.044384,-90.164192,1/5/2020 0:00
49,35.648796,-89.933029,1/5/2020 0:00
50,35.7957,-91.745796,1/5/2020 0:00
51,35.935783,-89.715202,1/5/2020 0:00
52,35.643608,-89.94339,1/5/2020 0:00
53,35.891418,-89.781357,1/5/2020 0:00
54,33.967957,-94.123505,1/5/2020 0:00
55,32.51944,-94.081566,1/5/2020 0:00
56,32.275528,-92.727966,1/5/2020 0:00
57,33.224403,-93.199547,1/5/2020 0:00
58,32.549824,-94.273407,1/5/2020 0:00
59,32.549149,-94.277542,1/5/2020 0:00
60,35.938526,-94.599419,1/5/2020 0:00
61,35.82375,-94.131691,1/5/2020 0:00
62,35.936817,-89.715164,1/5/2020 0:00
63,34.602249,-94.049316,1/5/2020 0:00
64,33.057453,-93.923523,1/5/2020 0:00
65,35.481991,-94.587868,1/5/2020 0:00
66,35.208191,-94.534637,1/5/2020 0:00
67,36.453133,-92.305252,1/5/2020 0:00
68,36.537605,-90.820076,1/5/2020 0:00
69,32.984196,-94.112221,1/5/2020 0:00
70,33.916481,-94.562645,1/5/2020 0:00
71,34.518848,-92.156258,1/5/2020 0:00
72,36.100235,-92.63755,1/5/2020 0:00
73,35.934803,-89.71196,1/6/2020 0:00
74,35.945938,-89.714676,1/6/2020 0:00
75,35.79298,-91.746185,1/6/2020 0:00
76,35.046131,-90.165054,1/6/2020 0:00
77,35.935425,-89.716774,1/6/2020 0:00
78,35.441242,-92.579788,1/6/2020 0:00
79,36.836929,-93.120674,1/6/2020 0:00
80,35.647591,-89.931984,1/6/2020 0:00
81,35.086109,-90.083031,1/6/2020 0:00
82,35.641167,-89.938232,1/6/2020 0:00
83,35.641785,-89.943085,1/6/2020 0:00
84,35.942432,-89.715378,1/6/2020 0:00
85,35.845562,-91.40345,1/6/2020 0:00
86,33.576561,-93.660538,1/6/2020 0:00
87,32.977539,-90.165146,1/6/2020 0:00
88,32.276115,-92.732307,1/6/2020 0:00
89,33.402767,-93.196449,1/6/2020 0:00
90,33.117847,-93.231209,1/6/2020 0:00
91,35.612934,-92.646538,1/6/2020 0:00
92,35.49287,-92.565994,1/6/2020 0:00
93,32.333698,-94.833969,1/6/2020 0:00
94,33.152096,-93.92981,1/6/2020 0:00
95,35.686562,-93.547096,1/6/2020 0:00
96,34.433926,-94.892853,1/6/2020 0:00
97,34.432232,-94.901169,1/6/2020 0:00
98,34.433079,-94.897003,1/6/2020 0:00
99,34.431377,-94.90535,1/6/2020 0:00
100,34.665962,-92.910286,1/6/2020 0:00
101,36.210529,-92.049187,1/6/2020 0:00
102,32.651123,-93.34127,1/6/2020 0:00
103,36.366024,-90.946533,1/6/2020 0:00
104,36.366749,-90.942169,1/6/2020 0:00
105,36.362701,-90.945694,1/6/2020 0:00
106,35.649269,-89.93235,1/6/2020 0:00
107,35.305252,-92.878632,1/6/2020 0:00
108,35.890495,-89.780647,1/6/2020 0:00
109,32.798038,-94.299759,1/6/2020 0:00
110,33.256496,-94.058998,1/6/2020 0:00
111,35.715363,-92.625801,1/6/2020 0:00
112,35.718838,-92.626808,1/6/2020 0:00
113,35.934998,-89.713707,1/7/2020 0:00
114,35.889236,-89.781052,1/7/2020 0:00
115,35.943913,-89.712448,1/7/2020 0:00
116,35.794994,-91.743706,1/7/2020 0:00
117,35.263275,-94.047211,1/7/2020 0:00
118,34.665154,-92.911812,1/7/2020 0:00
119,35.271618,-94.049438,1/7/2020 0:00
120,32.276661,-92.730087,1/7/2020 0:00
121,34.664879,-92.907883,1/7/2020 0:00
122,35.26923,-94.05143,1/7/2020 0:00
123,33.846092,-93.627991,1/7/2020 0:00
124,33.840618,-93.628403,1/7/2020 0:00
125,35.27187,-94.054138,1/7/2020 0:00
126,35.936733,-89.713882,1/7/2020 0:00
